input_value,codigo_ficha,requested_url,final_url,http_status,html_size,status,reason,page_title,checked_at
44763,44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=44763,200,72008,success,,"Carros na Web | Renault Kardian Evolution 1.0 AT 2026 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",2026-05-26 18:29:47
22547,22547,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=22547,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=22547,200,47921,success,,"Carros na Web | BMW X6 xDrive35i 3.0 2008 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",2026-05-26 18:29:51
4801,4801,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=4801,https://www.carrosnaweb.com.br/fichadetalhe.asp?codigo=4801,200,64608,success,,"Carros na Web | Fiat Siena Essence 1.6 16V 2014 | Ficha Técnica, Especificações, Equipamentos, Fotos, Preço.",2026-05-26 18:29:56
